Mon Jan  3 16:37:22 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:23 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:24 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:25 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:26 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:27 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:28 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:29 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:30 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:31 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
time,room,dataType,data
Mon Jan  3 16:37:32 2022,23982147,payloadType.TOP_THREE,"{""rank1"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank2"": {""uname"": ""NOPLAYER"", ""uscore"": """"}, ""rank3"": {""uname"": ""NOPLAYER"", ""uscore"": """"}}"
